date,Primary_Industry_Code,medoid
1996,Medical Supplies,11261-71
1996,Internet Retail,11141-65
1996,Internet Software,11142-19
1996,Specialty Chemicals,11145-52
1996,BPO/Outsource Services,11147-95
1996,Wireless Communications Equipment,11165-50
1996,Systems and Information Management,11170-81
1996,Food Products,11173-69
1996,Telecommunications Service Providers,11174-77
1996,Decision/Risk Analysis,11181-43
1996,Social/Platform Software,11184-40
1996,Holding Companies,11191-96
1996,Electrical Equipment,11196-10
1996,Beverages,11201-59
1996,Therapeutic Devices,11207-17
1996,Other IT Services,11213-92
1996,Insurance Brokers,11217-25
1996,Wireless Service Providers,11223-19
1996,Other Communications and Networking,11224-18
1996,Connectivity Products,11242-54
1996,Human Capital Services,11322-46
1996,Laboratory Services (Healthcare),11252-44
1996,Automation/Workflow Software,11258-38
1996,Surgical Devices,11274-04
1996,Monitoring Equipment,11322-91
1996,General Purpose Semiconductors,11336-32
1996,Paper Containers & Packaging,12075-22
1996,"Other Metals, Minerals and Mining",168842-62
1996,Educational and Training Services (B2C),52166-62
1996,Other Commercial Products,57314-80
1997,Biotechnology,10020-07
1997,Application Software,10135-81
1997,Automation/Workflow Software,11258-83
1997,Wireless Service Providers,10052-20
1997,Communication Software,10068-04
1997,Beverages,25197-58
1997,Connectivity Products,10133-20
1997,Discovery Tools (Healthcare),11136-61
1997,Elder and Disabled Care,11153-98
1997,Information Services (B2C),11217-25
1997,Other Software,11147-95
1997,Pharmaceuticals,10521-46
1997,Business/Productivity Software,11213-74
1997,Network Management Software,11179-99
1997,Systems and Information Management,11124-28
1997,Managed Care,11247-13
1997,Vertical Market Software,10139-41
1997,Wireless Communications Equipment,11265-94
1997,"Computers, Parts and Peripherals",11142-28
1997,Other Financial Services,10146-16
1997,Storage (IT),11111-23
1997,General Purpose Semiconductors,151294-06
1997,Media and Information Services (B2B),10411-93
1997,Social/Platform Software,11129-23
1997,Other Healthcare Services,10458-73
1997,Hotels and Resorts,10563-22
1997,Medical Supplies,11192-68
1997,Other Pharmaceuticals and Biotechnology,108183-97
1997,Telecommunications Service Providers,10905-04
1997,Other Commercial Products,11109-61
1997,Surgical Devices,11303-83
1997,Drug Discovery,11138-68
1997,Electronic Components,11116-99
1997,Internet Service Providers,11127-88
1997,Other Commercial Services,11237-68
1997,Enterprise Systems (Healthcare),11133-37
1997,Other Communications and Networking,11133-37
1997,Internet Software,11222-83
1997,Application Specific Semiconductors,11142-19
1997,Oil and Gas Equipment,11312-92
1997,Production (Semiconductors),123123-88
1997,Diagnostic Equipment,11175-13
1997,Therapeutic Devices,11177-11
1997,"Movies, Music and Entertainment",11181-79
1997,Publishing,11196-10
1997,Holding Companies,11197-81
1997,Human Capital Services,11201-59
1997,Practice Management (Healthcare),11210-32
1997,"Broadcasting, Radio and Television",11278-99
1997,Database Software,11211-40
1997,Other IT Services,11250-10
1997,Industrial Supplies and Parts,42348-97
1997,Monitoring Equipment,11251-81
1997,Educational and Training Services (B2C),11253-52
1997,Software Development Applications,11256-40
1997,Building Products,11262-52
1997,Electronics (B2C),11271-79
1997,Other Devices and Supplies,11288-17
1997,Logistics,11313-28
1997,Environmental Services (B2B),11340-01
1997,Financial Software,11851-66
1997,Legal Services (B2B),11867-23
1997,Internet Retail,42246-64
1997,Distributors/Wholesale (B2C),57314-80
1998,IT Consulting and Outsourcing,55747-90
1998,Wireless Communications Equipment,11252-26
1998,Network Management Software,11124-46
1998,Social/Platform Software,10411-93
1998,Vertical Market Software,11291-32
1998,Business/Productivity Software,10068-04
1998,Aerospace and Defense,10070-83
1998,Communication Software,42259-24
1998,Connectivity Products,11237-50
1998,Elder and Disabled Care,10070-83
1998,Electronic Components,11037-07
1998,Laboratory Services (Healthcare),10070-83
1998,Other Software,40849-84
1998,Restaurants and Bars,224122-15
1998,Telecommunications Service Providers,11132-38
1998,Therapeutic Devices,11208-07
1998,Biotechnology,100761-31
1998,Clinics/Outpatient Services,10109-26
1998,Application Software,10357-03
1998,Hospitals/Inpatient Services,10181-17
1998,Surgical Devices,11143-54
1998,Systems and Information Management,11248-93
1998,Life and Health Insurance,11193-76
1998,Other Capital Markets/Institutions,10139-41
1998,Storage (IT),11124-19
1998,"Broadcasting, Radio and Television",11211-40
1998,"Computers, Parts and Peripherals",11142-28
1998,Pharmaceuticals,10215-64
1998,Medical Supplies,10241-02
1998,Other Commercial Services,10381-24
1998,Specialized Finance,53961-94
1998,Discovery Tools (Healthcare),10446-40
1998,Drug Discovery,10521-46
1998,Other Commercial Products,11104-21
1998,Other Information Technology,11105-29
1998,Other IT Services,11271-79
1998,Electrical Equipment,53284-51
1998,Internet Software,11108-89
1998,Software Development Applications,11108-89
1998,Diagnostic Equipment,11109-61
1998,Wireless Service Providers,11112-67
1998,Internet Retail,51063-31
1998,Internet Service Providers,11114-92
1998,Drug Delivery,11117-62
1998,Agricultural Chemicals,11120-59
1998,Other Communications and Networking,11122-48
1998,Other Devices and Supplies,11123-38
1998,Environmental Services (B2B),11125-00
1998,Media and Information Services (B2B),11127-16
1998,Information Services (B2C),11217-25
1998,Electronics (B2C),11300-59
1998,Electronic Equipment and Instruments,11311-75
1998,Database Software,11170-81
1998,Educational Software,11134-81
1998,Entertainment Software,11142-19
1998,Fiberoptic Equipment,11142-19
1998,Enterprise Systems (Healthcare),11162-08
1998,Monitoring Equipment,11288-17
1998,Other Healthcare Technology Systems,11165-68
1998,Application Specific Semiconductors,11173-78
1998,General Purpose Semiconductors,11223-37
1998,Oil and Gas Equipment,11312-92
1998,Multimedia and Design Software,11177-20
1998,Logistics,11186-92
1998,Holding Companies,11191-96
1998,Other Financial Services,40998-97
1998,Educational and Training Services (B2C),11194-12
1998,Specialty Retail,11225-89
1998,Financial Software,11246-68
1998,Human Capital Services,11325-79
1998,Education and Training Services (B2B),11298-43
1998,Home Furnishings,11294-38
1998,Leisure Facilities,11303-56
1998,Automation/Workflow Software,11313-46
1998,Real Estate Services (B2C),11333-44
1998,Other Services (B2C Non-Financial),11410-66
1998,Industrial Supplies and Parts,12075-22
1998,Multi-line Mining,12075-22
1998,BPO/Outsource Services,42242-95
1998,Medical Records Systems,52282-99
1998,"Other Restaurants, Hotels and Leisure",53366-41
1998,Animal Husbandry,54742-51
1998,Alternative Energy Equipment,54858-79
1998,Plastic Containers & Packaging,55502-65
1998,Wood/Hard Products,55935-55
1998,Construction and Engineering,56682-64
1998,Publishing,56886-49
1999,Biotechnology,10020-07
1999,IT Consulting and Outsourcing,11156-41
1999,Wireless Communications Equipment,55978-03
1999,Application Software,11115-73
1999,Application Specific Semiconductors,11173-78
1999,Automation/Workflow Software,11112-67
1999,Business/Productivity Software,11124-46
1999,Fiberoptic Equipment,11224-18
1999,Financial Software,25380-82
1999,Network Management Software,11169-91
1999,Vertical Market Software,11215-36
1999,Therapeutic Devices,11125-99
1999,Aerospace and Defense,58241-26
1999,Clothing,11294-38
1999,Communication Software,11114-92
1999,Consulting Services (B2B),10230-94
1999,Drug Discovery,11108-98
1999,Electronic Components,10070-83
1999,Information Services (B2C),11222-11
1999,Internet Service Providers,11115-19
1999,Other Software,11157-04
1999,Pharmaceuticals,11201-95
1999,Systems and Information Management,11165-05
1999,Media and Information Services (B2B),10639-63
1999,Electronic Equipment and Instruments,11305-63
1999,Other Communications and Networking,11181-79
1999,Telecommunications Service Providers,11119-69
1999,Hospitals/Inpatient Services,10134-73
1999,Human Capital Services,124497-10
1999,Internet Retail,10357-03
1999,Logistics,11135-08
1999,"Accounting, Audit and Tax Services (B2C)",54058-60
1999,BPO/Outsource Services,11171-17
1999,Other IT Services,53460-37
1999,Managed Care,10139-41
1999,Social/Platform Software,10836-19
1999,Storage (IT),11315-71
1999,"Computers, Parts and Peripherals",11200-78
1999,Medical Supplies,11150-83
1999,Other Commercial Products,11286-01
1999,Surgical Devices,11160-55
1999,"Broadcasting, Radio and Television",11268-19
1999,Beverages,10241-02
1999,Diagnostic Equipment,11115-28
1999,Accessories,11133-01
1999,Database Software,11308-51
1999,Real Estate Services (B2C),10271-98
1999,Security Services (B2B),10271-98
1999,Monitoring Equipment,10405-45
1999,Enterprise Systems (Healthcare),11139-04
1999,Social Content,10458-73
1999,Hotels and Resorts,10563-22
1999,Connectivity Products,11159-47
1999,Other Financial Services,11201-77
1999,Restaurants and Bars,11109-61
1999,Other Consumer Non-Durables,54369-91
1999,Alternative Energy Equipment,11112-31
1999,Internet Software,111257-20
1999,Drug Delivery,11268-82
1999,Clinics/Outpatient Services,56049-76
1999,Agricultural Chemicals,11120-59
1999,Other Services (B2C Non-Financial),11123-11
1999,Plastic Containers & Packaging,11124-28
1999,Environmental Services (B2B),11125-00
1999,Other Energy Services,11127-34
1999,Publishing,11127-34
1999,Specialty Retail,11208-16
1999,Electrical Equipment,11302-84
1999,"Accounting, Audit and Tax Services (B2B)",11261-44
1999,Discovery Tools (Healthcare),11132-20
1999,Other Commercial Services,11148-94
1999,Other Devices and Supplies,11134-81
1999,Wireless Service Providers,53574-04
1999,Food Products,11143-54
1999,Other Healthcare Services,11324-44
1999,Machinery (B2B),11339-74
1999,Household Appliances,53454-25
1999,Entertainment Software,11159-74
1999,General Purpose Semiconductors,11160-28
1999,Education and Training Services (B2B),11283-94
1999,Software Development Applications,11166-49
1999,Buildings and Property,11166-58
1999,Decision/Risk Analysis,11166-58
1999,Consumer Finance,11173-51
1999,Industrial Supplies and Parts,11190-70
1999,Other Retail,11193-13
1999,Educational and Training Services (B2C),52970-77
1999,Laboratory Services (Healthcare),11196-82
1999,"Other Restaurants, Hotels and Leisure",11198-62
1999,Distributors/Wholesale,11199-79
1999,"Movies, Music and Entertainment",54321-85
1999,Life and Health Insurance,11211-40
1999,Multimedia and Design Software,11212-21
1999,Holding Companies,11223-37
1999,Elder and Disabled Care,11247-13
1999,Medical Records Systems,11251-81
1999,Electronics (B2C),11252-17
1999,Automotive Insurance,12621-34
1999,Other Materials,11282-77
1999,Other Hardware,11302-48
1999,Multi-line Chemicals,11304-28
1999,Oil and Gas Equipment,11307-52
1999,Other Insurance,11320-48
1999,Other Pharmaceuticals and Biotechnology,11322-28
1999,Other Information Technology,60293-62
1999,Industrial Chemicals,56147-77
1999,Production (Semiconductors),161446-51
1999,Energy Production,168915-88
1999,Cable Service Providers,170121-88
1999,Energy Exploration,40389-49
1999,Other Capital Markets/Institutions,43226-11
1999,Other Semiconductors,57371-86
2000,Biotechnology,10215-64
2000,Drug Delivery,11312-47
2000,Therapeutic Devices,11150-83
2000,Human Capital Services,14144-86
2000,Other Commercial Services,10103-41
2000,Private Equity,10022-14
2000,Application Software,11105-38
2000,Application Specific Semiconductors,11161-90
2000,Automation/Workflow Software,11119-42
2000,Internet Service Providers,40402-09
2000,Logistics,11135-08
2000,Network Management Software,11146-33
2000,Systems and Information Management,11136-16
2000,Telecommunications Service Providers,11159-83
2000,Internet Retail,100534-78
2000,Database Software,10353-97
2000,Other Financial Services,11126-89
2000,Business/Productivity Software,108183-97
2000,Electronic Equipment and Instruments,10109-26
2000,Social/Platform Software,11128-60
2000,Clothing,13174-75
2000,Connectivity Products,11117-44
2000,Drug Discovery,11125-45
2000,Enterprise Systems (Healthcare),11456-83
2000,Other Communications and Networking,11130-04
2000,Other Healthcare Technology Systems,51106-96
2000,Other Services (B2C Non-Financial),53564-68
2000,Other Software,11155-96
2000,Wireless Communications Equipment,11000-08
2000,BPO/Outsource Services,11275-75
2000,Internet Software,11110-87
2000,Life and Health Insurance,11235-16
2000,Other Capital Markets/Institutions,10109-26
2000,Wireless Service Providers,10660-69
2000,Communication Software,10905-04
2000,"Computers, Parts and Peripherals",63137-17
2000,Discovery Tools (Healthcare),11308-78
2000,Fiberoptic Equipment,11274-76
2000,Media and Information Services (B2B),11168-47
2000,Consulting Services (B2B),11124-01
2000,Electronic Components,11311-93
2000,Financial Software,11209-15
2000,Hospitals/Inpatient Services,10134-73
2000,Information Services (B2C),185194-90
2000,IT Consulting and Outsourcing,11178-91
2000,"Movies, Music and Entertainment",10884-43
2000,Storage (IT),10139-41
2000,Vertical Market Software,11124-64
2000,Educational Software,51724-63
2000,Energy Infrastructure,10156-69
2000,Personal Products,10215-55
2000,Diagnostic Equipment,10215-73
2000,Beverages,12747-97
2000,Pharmaceuticals,11108-98
2000,"Broadcasting, Radio and Television",10371-16
2000,Real Estate Services (B2C),11277-55
2000,Security Services (B2B),11240-02
2000,Specialized Finance,11335-96
2000,Multimedia and Design Software,10322-56
2000,Casinos and Gaming,10364-77
2000,Other Business Products and Services,10381-24
2000,Monitoring Equipment,11110-33
2000,Elder and Disabled Care,10563-22
2000,Distributors/Wholesale (B2C),10722-16
2000,Agricultural Chemicals,11037-07
2000,Educational and Training Services (B2C),124115-32
2000,Marine,11104-21
2000,Other IT Services,11166-76
2000,Software Development Applications,11215-18
2000,Electrical Equipment,11160-28
2000,Other Commercial Products,11294-38
2000,Specialty Retail,11320-48
2000,Aerospace and Defense,149992-48
2000,Cable Service Providers,42114-25
2000,Other Equipment,11112-31
2000,Surgical Devices,11222-02
2000,Publishing,11852-02
2000,Consumer Finance,11114-47
2000,Electronics (B2C),11252-17
2000,Legal Services (B2B),51438-79
2000,Other Insurance,11120-41
2000,Practice Management (Healthcare),11120-32
2000,Clinics/Outpatient Services,54220-69
2000,Medical Supplies,52140-79
2000,Managed Care,11124-19
2000,Recreational Goods,11124-28
2000,Environmental Services (B2B),53542-36
2000,Decision/Risk Analysis,11128-42
2000,Horticulture,53999-38
2000,Medical Records Systems,11168-38
2000,Other Commercial Banks,11267-47
2000,"Accounting, Audit and Tax Services (B2B)",11132-38
2000,Other Retail,11132-38
2000,Other Pharmaceuticals and Biotechnology,11132-92
2000,General Purpose Semiconductors,11261-89
2000,Production (Semiconductors),11141-38
2000,Entertainment Software,11142-19
2000,Other Healthcare Services,11324-44
2000,Printing Services (B2B),11170-36
2000,Other Information Technology,52384-42
2000,Alternative Energy Equipment,11259-91
2000,Building Products,11181-79
2000,Forestry Processing,11188-90
2000,Energy Traders and Brokers,11194-30
2000,"Other Restaurants, Hotels and Leisure",11198-62
2000,Other Semiconductors,11230-12
2000,Food Products,11300-68
2000,Other Consumer Non-Durables,11244-97
2000,Property and Casualty Insurance,11249-47
2000,Other Devices and Supplies,11251-27
2000,Industrial Supplies and Parts,11258-29
2000,Distributors/Wholesale,52694-47
2000,Business Equipment and Supplies,11271-79
2000,Education and Training Services (B2B),11274-22
2000,Construction and Engineering,11284-48
2000,Home Furnishings,52378-30
2000,Asset Management,12685-51
2000,Laboratory Services (Healthcare),11312-38
2000,Oil and Gas Equipment,11312-92
2000,Energy Production,11320-93
2000,Other Consumer Durables,118879-84
2000,Electric Utilities,56070-01
2000,Other Containers and Packaging,25257-43
2000,Other Media,25380-82
2000,Brokerage,26033-86
2000,Social Content,40430-80
2000,Commercial/Professional Insurance,42423-76
2000,Energy Marketing,51485-32
2000,Catalog Retail,51566-41
2000,Automotive,52643-71
2000,Investment Banks,53574-04
2000,Buildings and Property,53707-15
2000,Other Consumer Products and Services,53802-64
2000,Animal Husbandry,54742-51
2000,Holding Companies,56599-57
2000,Other Transportation,57314-80
2001,Biotechnology,10344-70
2001,Drug Discovery,11111-05
2001,Human Capital Services,11124-64
2001,Other Commercial Services,11127-88
2001,Application Specific Semiconductors,11166-31
2001,Automation/Workflow Software,11196-10
2001,Business/Productivity Software,100534-78
2001,Fiberoptic Equipment,11169-73
2001,Network Management Software,11171-44
2001,Systems and Information Management,11175-76
2001,Wireless Communications Equipment,11110-87
2001,Application Software,11116-09
2001,Database Software,11410-66
2001,Logistics,11181-43
2001,Communication Software,10193-41
2001,Media and Information Services (B2B),10353-97
2001,Social/Platform Software,11327-41
2001,Therapeutic Devices,11114-65
2001,Connectivity Products,11203-21
2001,Electronic Components,11114-74
2001,Laboratory Services (Healthcare),11174-32
2001,Telecommunications Service Providers,10754-47
2001,Internet Software,54581-86
2001,Re-Insurance,10077-85
2001,Electronic Equipment and Instruments,11214-01
2001,General Purpose Semiconductors,108904-69
2001,Other IT Services,11250-10
2001,Wireless Service Providers,11218-51
2001,Other Software,11155-96
2001,"Accounting, Audit and Tax Services (B2B)",11327-95
2001,Consulting Services (B2B),179275-69
2001,Other Communications and Networking,110820-43
2001,Storage (IT),50901-76
2001,Internet Retail,11263-42
2001,Other Hardware,10134-73
2001,Vertical Market Software,11176-84
2001,"Accounting, Audit and Tax Services (B2C)",54058-60
2001,Brokerage,14144-86
2001,Distributors/Wholesale,10139-41
2001,Internet Service Providers,11325-70
2001,Cable Service Providers,11171-35
2001,Financial Software,11240-02
2001,Consumer Finance,10156-69
2001,Electrical Equipment,11212-21
2001,Other Commercial Products,11138-68
2001,Personal Products,10215-55
2001,Industrial Supplies and Parts,10405-45
2001,Surgical Devices,11160-55
2001,Educational and Training Services (B2C),11228-32
2001,Diagnostic Equipment,11241-55
2001,Pharmaceuticals,11120-68
2001,Multimedia and Design Software,10322-56
2001,"Broadcasting, Radio and Television",11328-40
2001,Educational Software,11077-21
2001,IT Consulting and Outsourcing,42841-27
2001,Machinery (B2B),11308-60
2001,Enterprise Systems (Healthcare),11763-55
2001,Social Content,10458-73
2001,Clinics/Outpatient Services,10521-46
2001,Hotels and Resorts,10563-22
2001,Other Healthcare,11208-70
2001,Drug Delivery,11251-18
2001,Energy Traders and Brokers,99092-80
2001,Distributors/Wholesale (B2C),10883-44
2001,Investment Banks,51084-55
2001,Other Healthcare Services,10905-04
2001,"Movies, Music and Entertainment",11104-57
2001,Other Information Technology,11298-97
2001,Electronics (B2C),11140-30
2001,Other Services (B2C Non-Financial),11106-73
2001,Production (Semiconductors),55773-73
2001,BPO/Outsource Services,42246-73
2001,Software Development Applications,11108-89
2001,Other Equipment,11112-31
2001,Publishing,161779-69
2001,Medical Supplies,11197-90
2001,Other Consumer Products and Services,11114-47
2001,Real Estate Services (B2C),11289-25
2001,Specialty Chemicals,11115-64
2001,"Computers, Parts and Peripherals",11200-78
2001,Other Healthcare Technology Systems,11264-59
2001,Legal Services (B2B),11171-53
2001,Security Services (B2B),11168-47
2001,Practice Management (Healthcare),51389-83
2001,Other Pharmaceuticals and Biotechnology,11124-28
2001,Information Services (B2C),11237-68
2001,Agricultural Chemicals,11127-79
2001,Medical Records Systems,52282-99
2001,Other Business Products and Services,11133-37
2001,Monitoring Equipment,11197-45
2001,Building Products,49309-12
2001,Energy Refining,11267-29
2001,Discovery Tools (Healthcare),11285-11
2001,Household Appliances,11148-04
2001,Other Semiconductors,11230-12
2001,Other Financial Services,25264-09
2001,Oil and Gas Equipment,11158-57
2001,Food Products,11161-27
2001,Asset Management,11163-70
2001,Buildings and Property,11166-58
2001,Printing Services (B2B),39276-28
2001,Construction and Engineering,11235-16
2001,Education and Training Services (B2B),42308-83
2001,Energy Production,11174-14
2001,Aerospace and Defense,11188-27
2001,Entertainment Software,11184-40
2001,Other Agriculture,11323-00
2001,Other Devices and Supplies,11193-49
2001,Plastic Containers & Packaging,11198-98
2001,Life and Health Insurance,11201-77
2001,General Merchandise Stores,11215-54
2001,Specialty Retail,11225-89
2001,Environmental Services (B2B),11237-14
2001,Business Equipment and Supplies,11244-97
2001,Other Consumer Non-Durables,11244-97
2001,Elder and Disabled Care,11247-13
2001,Recreational Goods,11248-57
2001,Other Capital Markets/Institutions,11252-26
2001,Other Energy Services,11258-29
2001,Automotive,11258-38
2001,Synthetic Textiles,11285-20
2001,Multi-line Chemicals,11288-17
2001,Decision/Risk Analysis,11302-57
2001,Other Containers and Packaging,11324-08
2001,Alternative Energy Equipment,11328-22
2001,Air,11329-21
2001,Marine,54008-11
2001,Hospitals/Inpatient Services,224498-17
2001,Beverages,53503-30
2001,Operating Systems Software,54345-25
2001,Industrial Chemicals,57571-75
2001,Road,57829-69
2002,Biotechnology,10884-34
2002,Publishing,11194-39
2002,Communication Software,11126-62
2002,Connectivity Products,11162-17
2002,Food Products,55502-65
2002,Other Commercial Services,11292-85
2002,Application Software,10355-77
2002,Business/Productivity Software,10156-69
2002,"Computers, Parts and Peripherals",11220-31
2002,Database Software,10060-57
2002,Fiberoptic Equipment,56562-85
2002,Logistics,11181-70
2002,Network Management Software,11117-08
2002,Systems and Information Management,11171-35
2002,Wireless Communications Equipment,10634-77
2002,Electronic Components,10563-22
2002,Therapeutic Devices,10948-78
2002,Aerospace and Defense,12749-50
2002,Electrical Equipment,11163-70
2002,Other Financial Services,113122-09
2002,Other Services (B2C Non-Financial),11123-11
2002,Storage (IT),10985-23
2002,Telecommunications Service Providers,11119-69
2002,Pharmaceuticals,100761-31
2002,Media and Information Services (B2B),10722-16
2002,Other Communications and Networking,11114-38
2002,Automation/Workflow Software,11110-87
2002,Medical Supplies,42242-14
2002,Internet Service Providers,10666-90
2002,Other Capital Markets/Institutions,10109-26
2002,Production (Semiconductors),11110-24
2002,Cable Service Providers,10133-20
2002,Monitoring Equipment,11114-65
2002,Software Development Applications,11126-80
2002,Application Specific Semiconductors,11129-23
2002,Hospitals/Inpatient Services,10134-73
2002,Consulting Services (B2B),11542-60
2002,Financial Software,10836-19
2002,General Purpose Semiconductors,51625-27
2002,Managed Care,152132-41
2002,Vertical Market Software,11176-84
2002,IT Consulting and Outsourcing,11127-16
2002,Other Business Products and Services,11133-37
2002,Social/Platform Software,11212-12
2002,Other Commercial Products,11108-44
2002,Other Devices and Supplies,11150-83
2002,"Broadcasting, Radio and Television",11253-52
2002,Personal Products,11336-68
2002,Diagnostic Equipment,11159-83
2002,Drug Delivery,11312-47
2002,Surgical Devices,11205-82
2002,Automotive,11287-63
2002,BPO/Outsource Services,10215-73
2002,Drug Discovery,10255-69
2002,Elder and Disabled Care,11210-41
2002,Security Services (B2B),11168-47
2002,Electronic Equipment and Instruments,11111-59
2002,"Other Metals, Minerals and Mining",10381-24
2002,Specialty Chemicals,11278-27
2002,Casinos and Gaming,10405-45
2002,Energy Exploration,25255-63
2002,Other Healthcare Technology Systems,11160-55
2002,Industrial Supplies and Parts,42304-60
2002,Educational and Training Services (B2C),42155-83
2002,Information Services (B2C),51500-08
2002,Air,10754-47
2002,Human Capital Services,10905-04
2002,Recreational Goods,11037-07
2002,Construction and Engineering,11104-21
2002,Other IT Services,11170-00
2002,Educational Software,51089-77
2002,Other Software,11107-63
2002,Multimedia and Design Software,11108-17
2002,Other Information Technology,11108-98
2002,Wireless Service Providers,11111-23
2002,Alternative Energy Equipment,11155-51
2002,Other Healthcare Services,11193-76
2002,Internet Retail,26033-86
2002,"Movies, Music and Entertainment",11216-08
2002,Other Insurance,83938-33
2002,Laboratory Services (Healthcare),11252-98
2002,Operating Systems Software,11121-85
2002,Electronics (B2C),11136-16
2002,Medical Records Systems,11160-10
2002,Agricultural Chemicals,42156-01
2002,Buildings and Property,11278-36
2002,Social Content,11126-89
2002,Internet Software,186006-97
2002,Decision/Risk Analysis,11253-88
2002,Leisure Facilities,11128-60
2002,Horticulture,11132-20
2002,"Accounting, Audit and Tax Services (B2B)",11319-04
2002,Thrifts and Mortgage Finance,11132-38
2002,Real Estate Services (B2C),11133-01
2002,Other Pharmaceuticals and Biotechnology,11239-93
2002,Enterprise Systems (Healthcare),11296-99
2002,Machinery (B2B),11161-36
2002,Energy Production,11254-15
2002,Other Semiconductors,11246-86
2002,Printing Services (B2B),53336-62
2002,Discovery Tools (Healthcare),11204-83
2002,Asset Management,11169-28
2002,Other Materials,11171-08
2002,Legal Services (B2B),53649-82
2002,Water Utilities,51431-41
2002,Specialized Finance,11198-62
2002,Other Consumer Products and Services,11217-61
2002,Beverages,11231-38
2002,Education and Training Services (B2B),52248-52
2002,Environmental Services (B2B),11238-04
2002,Building Products,11241-19
2002,Consumer Finance,11244-52
2002,Clinics/Outpatient Services,11266-84
2002,Other Chemicals and Gases,11278-54
2002,Practice Management (Healthcare),52565-05
2002,Synthetic Textiles,11285-20
